,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-12-09,2.55,2.59,2.49,2.59,2.59,22914800
1,2014-12-10,2.58,2.58,2.46,2.48,2.48,17690100
2,2014-12-11,2.51,2.54,2.46,2.49,2.49,10151600
3,2014-12-12,2.46,2.55,2.35,2.52,2.52,21211600
4,2014-12-15,2.52,2.6,2.46,2.47,2.47,19636400
5,2014-12-16,2.44,2.53,2.42,2.5,2.5,17051600
6,2014-12-17,2.5,2.57,2.46,2.55,2.55,12521300
7,2014-12-18,2.58,2.59,2.54,2.55,2.55,12423900
8,2014-12-19,2.53,2.57,2.51,2.57,2.57,14701500
9,2014-12-22,2.55,2.68,2.52,2.66,2.66,15044900
10,2014-12-23,2.69,2.72,2.66,2.67,2.67,8274400
11,2014-12-24,2.63,2.7,2.63,2.65,2.65,4624000
12,2014-12-26,2.65,2.69,2.65,2.65,2.65,4029600
13,2014-12-29,2.64,2.66,2.63,2.66,2.66,8527000
14,2014-12-30,2.64,2.7,2.63,2.63,2.63,7783700
15,2014-12-31,2.64,2.7,2.64,2.67,2.67,11177900
16,2015-01-02,2.67,2.67,2.67,2.67,2.67,0
17,2015-01-05,2.67,2.7,2.64,2.66,2.66,8878200
18,2015-01-06,2.65,2.66,2.55,2.63,2.63,13912500
19,2015-01-07,2.63,2.65,2.54,2.58,2.58,12377600
20,2015-01-08,2.59,2.65,2.56,2.61,2.61,11136600
21,2015-01-09,2.63,2.64,2.58,2.63,2.63,8907600
22,2015-01-12,2.62,2.64,2.55,2.63,2.63,9979600
23,2015-01-13,2.64,2.68,2.6,2.66,2.66,17907400
24,2015-01-14,2.6,2.66,2.58,2.63,2.63,9989900
25,2015-01-15,2.62,2.65,2.49,2.52,2.52,17744000
26,2015-01-16,2.52,2.53,2.39,2.39,2.39,30192400
27,2015-01-20,2.39,2.43,2.19,2.24,2.24,56713300
28,2015-01-21,2.18,2.45,2.14,2.45,2.45,46530800
29,2015-01-22,2.42,2.5,2.37,2.47,2.47,36169600
30,2015-01-23,2.48,2.5,2.43,2.45,2.45,11107200
31,2015-01-26,2.44,2.64,2.44,2.61,2.61,36571300
32,2015-01-27,2.58,2.84,2.56,2.7,2.7,51805800
33,2015-01-28,2.71,2.75,2.6,2.63,2.63,24786200
34,2015-01-29,2.63,2.69,2.51,2.61,2.61,17790200
35,2015-01-30,2.56,2.6,2.51,2.57,2.57,12908200
36,2015-02-02,2.69,2.75,2.65,2.67,2.67,25688700
37,2015-02-03,2.7,2.8,2.68,2.76,2.76,22592300
38,2015-02-04,2.78,2.92,2.76,2.85,2.85,34829300
39,2015-02-05,2.88,3.37,2.87,3.31,3.31,73355600
40,2015-02-06,3.2,3.21,3.0,3.03,3.03,38300000
41,2015-02-09,3.03,3.07,2.93,3.04,3.04,24133800
42,2015-02-10,3.07,3.1,3.01,3.04,3.04,13995100
43,2015-02-11,3.03,3.1,3.0,3.07,3.07,11741100
44,2015-02-12,3.08,3.15,3.05,3.12,3.12,12975000
45,2015-02-13,3.13,3.18,3.11,3.15,3.15,9627600
46,2015-02-17,3.16,3.17,3.08,3.11,3.11,8678100
47,2015-02-18,3.11,3.14,3.06,3.08,3.08,7286100
48,2015-02-19,3.06,3.08,3.01,3.06,3.06,6573600
49,2015-02-20,3.03,3.13,3.02,3.06,3.06,10666700
50,2015-02-23,3.05,3.1,3.03,3.06,3.06,6323500
51,2015-02-24,3.06,3.12,3.02,3.11,3.11,10916300
52,2015-02-25,3.08,3.14,3.06,3.1,3.1,6151300
53,2015-02-26,3.1,3.13,3.06,3.08,3.08,8680900
54,2015-02-27,3.07,3.12,3.07,3.11,3.11,7150200
55,2015-03-02,3.13,3.23,3.11,3.21,3.21,15638100
56,2015-03-03,3.2,3.23,3.13,3.14,3.14,8644000
57,2015-03-04,3.14,3.14,3.01,3.05,3.05,12122100
58,2015-03-05,3.1,3.1,2.98,2.98,2.98,11472300
59,2015-03-06,2.96,2.99,2.83,2.92,2.92,16785200
60,2015-03-09,2.92,2.98,2.9,2.93,2.93,12405900
61,2015-03-10,2.97,2.98,2.92,2.92,2.92,10312400
62,2015-03-11,2.92,2.95,2.8,2.84,2.84,11772800
63,2015-03-12,2.76,2.79,2.72,2.76,2.76,13847200
64,2015-03-13,2.74,2.78,2.71,2.75,2.75,8098100
65,2015-03-16,2.75,2.81,2.75,2.76,2.76,6132900
66,2015-03-17,2.75,2.8,2.74,2.77,2.77,7742200
67,2015-03-18,2.77,2.82,2.72,2.75,2.75,11385200
68,2015-03-19,2.76,2.78,2.73,2.74,2.74,8819400
69,2015-03-20,2.76,2.8,2.74,2.8,2.8,10764800
70,2015-03-23,2.81,2.85,2.8,2.84,2.84,7450200
71,2015-03-24,2.85,2.85,2.76,2.79,2.79,8724500
72,2015-03-25,2.78,2.79,2.56,2.63,2.63,26985300
73,2015-03-26,2.59,2.7,2.53,2.65,2.65,28286300
74,2015-03-27,2.7,2.8,2.63,2.72,2.72,16844100
75,2015-03-30,2.73,2.76,2.66,2.7,2.7,8557500
76,2015-03-31,2.66,2.7,2.65,2.68,2.68,7025000
77,2015-04-01,2.66,2.75,2.65,2.69,2.69,11240500
78,2015-04-02,2.66,2.7,2.65,2.69,2.69,7047600
79,2015-04-06,2.68,2.73,2.68,2.7,2.7,8178500
80,2015-04-07,2.7,2.74,2.69,2.7,2.7,5738100
81,2015-04-08,2.68,2.74,2.68,2.71,2.71,4349000
82,2015-04-09,2.69,2.75,2.69,2.72,2.72,7127600
83,2015-04-10,2.74,2.78,2.73,2.76,2.76,6184800
84,2015-04-13,2.76,2.8,2.73,2.78,2.78,8391500
85,2015-04-14,2.77,2.79,2.65,2.67,2.67,13364100
86,2015-04-15,2.7,2.74,2.65,2.7,2.7,15281400
87,2015-04-16,2.72,2.94,2.7,2.87,2.87,28617300
88,2015-04-17,2.54,2.58,2.45,2.58,2.58,53185300
89,2015-04-20,2.56,2.57,2.45,2.49,2.49,29164300
90,2015-04-21,2.53,2.53,2.35,2.35,2.35,31279400
91,2015-04-22,2.35,2.36,2.25,2.28,2.28,27634900
92,2015-04-23,2.28,2.36,2.26,2.33,2.33,15130400
93,2015-04-24,2.36,2.38,2.3,2.3,2.3,15001200
94,2015-04-27,2.3,2.36,2.29,2.34,2.34,13486900
95,2015-04-28,2.36,2.37,2.31,2.31,2.31,11448700
96,2015-04-29,2.3,2.33,2.27,2.28,2.28,11870200
97,2015-04-30,2.28,2.31,2.26,2.26,2.26,11465300
98,2015-05-01,2.26,2.31,2.25,2.31,2.31,11662800
99,2015-05-04,2.31,2.36,2.3,2.31,2.31,9670100
100,2015-05-05,2.34,2.34,2.25,2.28,2.28,12371600
101,2015-05-06,2.29,2.31,2.24,2.29,2.29,18492100
102,2015-05-07,2.32,2.32,2.26,2.32,2.32,15015600
103,2015-05-08,2.33,2.36,2.3,2.31,2.31,9758800
104,2015-05-11,2.31,2.35,2.31,2.32,2.32,10046900
105,2015-05-12,2.32,2.35,2.3,2.35,2.35,10017500
106,2015-05-13,2.36,2.38,2.35,2.37,2.37,7575900
107,2015-05-14,2.38,2.39,2.33,2.33,2.33,8865100
108,2015-05-15,2.33,2.38,2.32,2.32,2.32,8054800
109,2015-05-18,2.35,2.36,2.33,2.35,2.35,4732800
110,2015-05-19,2.36,2.37,2.28,2.28,2.28,9588400
111,2015-05-20,2.3,2.33,2.28,2.32,2.32,6947700
112,2015-05-21,2.31,2.35,2.28,2.28,2.28,7127700
113,2015-05-22,2.3,2.31,2.27,2.28,2.28,12845400
114,2015-05-26,2.27,2.28,2.22,2.22,2.22,10007800
115,2015-05-27,2.24,2.28,2.2,2.28,2.28,17511000
116,2015-05-28,2.28,2.33,2.27,2.27,2.27,12354600
117,2015-05-29,2.27,2.32,2.25,2.28,2.28,7750500
118,2015-06-01,2.29,2.3,2.25,2.25,2.25,6803700
119,2015-06-02,2.26,2.3,2.25,2.3,2.3,7106000
120,2015-06-03,2.3,2.32,2.28,2.28,2.28,8062300
121,2015-06-04,2.28,2.33,2.26,2.33,2.33,11575800
122,2015-06-05,2.31,2.34,2.29,2.33,2.33,7349700
123,2015-06-08,2.31,2.33,2.29,2.31,2.31,6212900
124,2015-06-09,2.35,2.36,2.28,2.29,2.29,12282700
125,2015-06-10,2.31,2.35,2.3,2.32,2.32,8161200
126,2015-06-11,2.34,2.35,2.31,2.32,2.32,7671000
127,2015-06-12,2.31,2.33,2.3,2.31,2.31,4557600
128,2015-06-15,2.32,2.35,2.29,2.32,2.32,8627800
129,2015-06-16,2.32,2.37,2.32,2.35,2.35,9795000
130,2015-06-17,2.37,2.54,2.35,2.47,2.47,27497900
131,2015-06-18,2.5,2.59,2.48,2.52,2.52,25400200
132,2015-06-19,2.53,2.59,2.46,2.58,2.58,25551700
133,2015-06-22,2.61,2.67,2.58,2.62,2.62,19410100
134,2015-06-23,2.62,2.64,2.55,2.61,2.61,17919600
135,2015-06-24,2.6,2.66,2.57,2.62,2.62,17516700
136,2015-06-25,2.62,2.66,2.57,2.58,2.58,18360200
137,2015-06-26,2.54,2.55,2.37,2.47,2.47,97054200
138,2015-06-29,2.41,2.42,2.31,2.34,2.34,22971500
139,2015-06-30,2.43,2.43,2.35,2.4,2.4,19381300
140,2015-07-01,2.47,2.48,2.36,2.42,2.42,19375000
141,2015-07-02,2.43,2.63,2.39,2.53,2.53,31185900
142,2015-07-06,2.46,2.54,2.44,2.47,2.47,20349400
143,2015-07-07,2.04,2.14,2.02,2.09,2.09,46418700
144,2015-07-08,2.07,2.07,2.01,2.01,2.01,15302900
145,2015-07-09,2.04,2.06,1.93,1.98,1.98,23378200
146,2015-07-10,2.0,2.03,1.95,1.96,1.96,17520800
147,2015-07-13,1.97,1.99,1.95,1.96,1.96,9080900
148,2015-07-14,2.03,2.06,1.97,2.05,2.05,15812300
149,2015-07-15,2.07,2.09,1.95,1.96,1.96,13517800
150,2015-07-16,1.97,2.0,1.87,1.87,1.87,20653300
151,2015-07-17,1.87,1.9,1.74,1.79,1.79,28127100
152,2015-07-20,1.82,1.84,1.77,1.8,1.8,12142400
153,2015-07-21,1.82,1.83,1.78,1.8,1.8,15034500
154,2015-07-22,1.8,1.81,1.76,1.79,1.79,16043400
155,2015-07-23,1.8,1.81,1.75,1.76,1.76,10641900
156,2015-07-24,1.76,1.77,1.65,1.67,1.67,16478400
157,2015-07-27,1.67,1.7,1.61,1.62,1.62,11916500
158,2015-07-28,1.62,1.77,1.62,1.77,1.77,14614600
159,2015-07-29,1.77,1.99,1.76,1.96,1.96,25582200
160,2015-07-30,1.94,1.99,1.88,1.93,1.93,15837400
161,2015-07-31,1.94,1.99,1.92,1.93,1.93,7733700
162,2015-08-03,1.93,2.2,1.9,2.2,2.2,26218200
163,2015-08-04,2.18,2.18,2.05,2.13,2.13,14328400
164,2015-08-05,2.11,2.21,2.1,2.16,2.16,13236000
165,2015-08-06,2.15,2.17,2.1,2.11,2.11,9475000
166,2015-08-07,2.1,2.14,2.06,2.09,2.09,7680800
167,2015-08-10,1.92,1.98,1.82,1.93,1.93,29926200
168,2015-08-11,1.91,1.93,1.88,1.9,1.9,7479200
169,2015-08-12,1.88,1.93,1.84,1.9,1.9,8521200
170,2015-08-13,1.9,1.91,1.79,1.79,1.79,7839700
171,2015-08-14,1.8,1.85,1.79,1.84,1.84,6183400
172,2015-08-17,1.82,1.88,1.8,1.8,1.8,9062400
173,2015-08-18,1.79,1.82,1.75,1.8,1.8,9751900
174,2015-08-19,1.8,1.81,1.76,1.8,1.8,7441200
175,2015-08-20,1.79,1.8,1.7,1.7,1.7,13745700
176,2015-08-21,1.68,1.8,1.68,1.78,1.78,12529500
177,2015-08-24,1.69,1.83,1.65,1.75,1.75,17217400
178,2015-08-25,1.82,1.82,1.66,1.66,1.66,12097700
179,2015-08-26,1.69,1.73,1.66,1.72,1.72,10715300
180,2015-08-27,1.74,1.84,1.74,1.78,1.78,11839300
181,2015-08-28,1.75,1.87,1.75,1.85,1.85,10924600
182,2015-08-31,1.82,1.87,1.79,1.81,1.81,6516000
183,2015-09-01,1.77,1.82,1.71,1.71,1.71,8470700
184,2015-09-02,1.75,1.77,1.72,1.77,1.77,6306100
185,2015-09-03,1.76,1.85,1.76,1.79,1.79,7154200
186,2015-09-04,1.76,1.84,1.76,1.82,1.82,6725300
187,2015-09-08,1.85,1.88,1.83,1.88,1.88,6009500
188,2015-09-09,1.9,1.97,1.83,1.85,1.85,12612300
189,2015-09-10,1.84,1.88,1.83,1.84,1.84,4290400
190,2015-09-11,1.88,2.14,1.81,2.01,2.01,31010300
191,2015-09-14,2.0,2.0,1.81,1.82,1.82,16458500
192,2015-09-15,1.84,1.87,1.81,1.86,1.86,6524400
193,2015-09-16,1.87,1.9,1.85,1.89,1.89,4928300
194,2015-09-17,1.9,1.94,1.87,1.89,1.89,5831600
195,2015-09-18,1.87,1.92,1.85,1.87,1.87,11814000
196,2015-09-21,1.87,1.9,1.81,1.81,1.81,5377800
197,2015-09-22,1.8,1.84,1.72,1.73,1.73,9975200
198,2015-09-23,1.76,1.78,1.69,1.7,1.7,9649200
199,2015-09-24,1.68,1.73,1.66,1.72,1.72,11247700
200,2015-09-25,1.75,1.75,1.68,1.71,1.71,5644600
201,2015-09-28,1.69,1.7,1.66,1.66,1.66,5693100
202,2015-09-29,1.67,1.69,1.65,1.67,1.67,7005300
203,2015-09-30,1.7,1.72,1.68,1.72,1.72,5739500
204,2015-10-01,1.77,1.77,1.72,1.74,1.74,5531700
