,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-12-09,8.03,8.1125,7.9375,8.0425,5.966316,16233200
1,2014-12-10,8.0175,8.045,7.8475,7.85,5.82351,10096000
2,2014-12-11,7.7425,7.96,7.715,7.9125,5.8698760000000005,16550800
3,2014-12-12,7.835,7.93,7.8125,7.8175,5.7994010000000005,13734800
4,2014-12-15,7.745,7.8,7.6725,7.72,5.727069,14128000
5,2014-12-16,7.6275,7.845,7.6025,7.75,5.749326,18684800
6,2014-12-17,7.72,7.85,7.6825,7.8375,5.814238,19172800
7,2014-12-18,7.935,8.15,7.935,8.1375,6.036792,18774800
8,2014-12-19,8.135,8.155,8.025,8.0325,5.958899,14258800
9,2014-12-22,7.985,8.0475,7.95,8.025,5.953333,9712800
10,2014-12-23,7.9175,8.0225,7.915,8.0125,5.9440599999999995,8671600
11,2014-12-24,7.86,8.0175,7.86,7.935,5.886566999999999,4644000
12,2014-12-26,8.05,8.05,7.95,7.95,5.897695,2529600
13,2014-12-29,7.9575,8.005,7.945,7.9475,5.895842,3344400
14,2014-12-30,8.0025,8.0275,7.85,7.8675,5.836493,5722800
15,2014-12-31,7.93,7.9875,7.85,7.865,5.834638,5498800
16,2015-01-02,8.0575,8.06,7.915,7.975,5.916242,13401600
17,2015-01-05,7.9175,7.935,7.835,7.875,5.8420559999999995,10076400
18,2015-01-06,7.8475,7.925,7.695,7.82,5.801255,13290800
19,2015-01-07,7.85,8.0475,7.845,7.985,5.92366,23202800
20,2015-01-08,8.0125,8.08,8.0025,8.0275,5.955189,14087200
21,2015-01-09,8.6375,8.71,8.275,8.39,6.2241089999999994,21250000
22,2015-01-12,8.5025,8.525,8.3525,8.38,6.21669,14019600
23,2015-01-13,8.4475,8.525,8.405,8.465,6.2797480000000006,12560800
24,2015-01-14,8.4875,8.5025,8.42,8.4725,6.285311,8686000
25,2015-01-15,8.54,8.675,8.5325,8.5425,6.33724,13886400
26,2015-01-16,8.575,8.6475,8.5075,8.6425,6.411425,9820400
27,2015-01-20,8.6625,8.72,8.58,8.65,6.416989,6111200
28,2015-01-21,8.7775,8.81,8.7075,8.7975,6.5264120000000005,10028800
29,2015-01-22,8.8725,8.955,8.81,8.95,6.639544,12345200
30,2015-01-23,8.945,8.9625,8.825,8.875,6.583906,14085600
31,2015-01-26,8.8625,8.955,8.8625,8.9225,6.619142999999999,8186800
32,2015-01-27,8.7075,8.8525,8.6875,8.785,6.517138,13230000
33,2015-01-28,8.845,8.8825,8.775,8.785,6.517138,9804400
34,2015-01-29,8.735,8.735,8.54,8.655,6.420698000000001,10396800
35,2015-01-30,8.6375,8.6675,8.5125,8.52,6.320549,9725600
36,2015-02-02,8.6725,8.685,8.5125,8.5875,6.370623,7320400
37,2015-02-03,8.635,8.6525,8.5575,8.63,6.402153,7856000
38,2015-02-04,8.715,8.81,8.66,8.695,6.450372,8541600
39,2015-02-05,8.785,8.9375,8.785,8.9375,6.630269999999999,9281600
40,2015-02-06,8.9225,9.025,8.8875,8.9425,6.63398,9884000
41,2015-02-09,8.9625,9.1175,8.9275,9.05,6.713728,10849200
42,2015-02-10,9.1225,9.1525,9.0125,9.1225,6.767513,8038800
43,2015-02-11,9.095,9.1525,9.055,9.0825,6.737839999999999,6551600
44,2015-02-12,9.215,9.26,9.1475,9.1825,6.812023,10686000
45,2015-02-13,9.22,9.25,9.1175,9.15,6.7879130000000005,5887600
46,2015-02-17,9.08,9.1275,8.985,9.0425,6.708164999999999,9932800
47,2015-02-18,9.14,9.1425,9.1075,9.125,6.769367,8074000
48,2015-02-19,9.22,9.32,9.2025,9.3,6.899189999999999,8166400
49,2015-02-20,9.145,9.24,9.11,9.23,6.8472610000000005,6093600
50,2015-02-23,9.0925,9.1125,9.0375,9.0475,6.711874000000001,7310400
51,2015-02-24,9.0775,9.1975,9.07,9.1875,6.815733,6253200
52,2015-02-25,9.25,9.305,9.14,9.1925,6.819442,9003600
53,2015-02-26,9.0925,9.1725,9.07,9.145,6.784205,5613600
54,2015-02-27,9.1775,9.225,9.11,9.1775,6.808314,9196800
55,2015-03-02,9.1775,9.1775,9.1125,9.15,6.7879130000000005,6452000
56,2015-03-03,9.2175,9.2725,9.2025,9.22,6.839844,9794400
57,2015-03-04,9.1175,9.18,9.0125,9.03,6.698891000000001,9094400
58,2015-03-05,9.0,9.0225,8.84,8.8725,6.58205,15684800
59,2015-03-06,8.8425,8.8775,8.77,8.81,6.535685,12893600
60,2015-03-09,8.6875,8.8,8.6625,8.7075,6.459646,13367200
