,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-12-09,7.56,7.71,7.54,7.65,6.6342360000000005,1973900
1,2014-12-10,7.62,7.64,7.36,7.41,6.426101999999999,1942000
2,2014-12-11,7.44,7.53,7.44,7.49,6.495481,954500
3,2014-12-12,7.45,7.47,7.3,7.34,6.365398,1509300
4,2014-12-15,7.28,7.3,7.02,7.08,6.224725,1201200
5,2014-12-16,7.12,7.45,7.1,7.26,6.382982,1776500
6,2014-12-17,7.3,7.46,7.29,7.43,6.532445,1294500
7,2014-12-18,7.47,7.74,7.45,7.69,6.761035000000001,1510300
8,2014-12-19,7.52,7.63,7.52,7.61,6.690701,1334200
9,2014-12-22,7.61,7.69,7.58,7.69,6.761035000000001,991700
10,2014-12-23,7.59,7.62,7.55,7.6,6.681908999999999,840400
11,2014-12-24,7.59,7.75,7.56,7.69,6.761035000000001,399700
12,2014-12-26,7.66,7.71,7.64,7.66,6.734660000000001,371400
13,2014-12-29,7.56,7.64,7.55,7.59,6.673118,830700
14,2014-12-30,7.55,7.58,7.53,7.54,6.629157000000001,664700
15,2014-12-31,7.53,7.6,7.45,7.47,6.567612,394400
16,2015-01-02,7.49,7.57,7.45,7.55,6.637949000000001,849500
17,2015-01-05,7.42,7.44,7.27,7.37,6.479693,1404600
18,2015-01-06,7.38,7.39,7.2,7.27,6.391773000000001,1066200
19,2015-01-07,7.35,7.48,7.32,7.44,6.541237000000001,1376100
20,2015-01-08,7.46,7.68,7.45,7.63,6.708285000000001,1947000
21,2015-01-09,7.68,7.69,7.5,7.65,6.725869,2077800
22,2015-01-12,7.62,7.72,7.53,7.65,6.725869,1358400
23,2015-01-13,7.55,7.73,7.5,7.55,6.637949000000001,1990800
24,2015-01-14,7.63,7.74,7.61,7.7,6.769829,4575000
25,2015-01-15,7.71,7.74,7.62,7.68,6.752244,1667600
26,2015-01-16,7.66,7.81,7.59,7.8,6.857748,1394800
27,2015-01-20,7.88,7.94,7.82,7.91,6.954460000000001,2930700
28,2015-01-21,7.9,8.05,7.88,8.04,7.068757000000001,995200
29,2015-01-22,7.99,8.15,7.96,8.13,7.1478850000000005,5479100
30,2015-01-23,8.1,8.28,8.08,8.19,7.200635000000001,4206400
31,2015-01-26,8.42,8.57,8.39,8.52,7.490772,1774200
32,2015-01-27,8.43,8.47,8.33,8.34,7.332516,2350400
33,2015-01-28,8.14,8.17,7.97,7.99,7.024796,6009200
34,2015-01-29,8.33,8.48,8.3,8.44,7.4204360000000005,11871700
35,2015-01-30,8.33,8.42,8.28,8.3,7.2973479999999995,4293600
36,2015-02-02,8.35,8.47,8.24,8.42,7.402850999999999,1640300
37,2015-02-03,8.47,8.6,8.44,8.58,7.543524000000001,5385800
38,2015-02-04,8.68,8.76,8.64,8.68,7.631442999999999,1687900
39,2015-02-05,8.67,8.71,8.57,8.69,7.640236,1134300
40,2015-02-06,8.67,8.69,8.54,8.55,7.517146,988200
41,2015-02-09,8.51,8.52,8.39,8.49,7.464395,753100
42,2015-02-10,8.71,8.8,8.66,8.79,7.728155,848800
43,2015-02-11,8.75,8.82,8.71,8.79,7.728155,652400
44,2015-02-12,8.9,9.12,8.86,9.12,8.018291,4368500
45,2015-02-13,8.96,8.97,8.84,8.91,7.833660000000001,1578900
46,2015-02-17,8.76,8.87,8.68,8.86,7.789698,1274800
47,2015-02-18,8.86,8.9,8.81,8.81,7.745739,1366200
48,2015-02-19,8.73,8.77,8.68,8.7,7.649025999999999,1194600
49,2015-02-20,8.73,8.94,8.72,8.92,7.842452000000001,736800
50,2015-02-23,8.9,8.91,8.82,8.89,7.816072,1281200
51,2015-02-24,8.86,8.98,8.83,8.98,7.8952029999999995,1079700
52,2015-02-25,8.93,9.0,8.91,8.98,7.8952029999999995,1379600
53,2015-02-26,8.92,8.95,8.87,8.91,7.833660000000001,1384900
54,2015-02-27,8.85,8.94,8.77,8.89,7.816072,895100
55,2015-03-02,9.08,9.2,9.06,9.17,8.06225,1932400
56,2015-03-03,9.23,9.41,9.2,9.37,8.23809,7713600
57,2015-03-04,9.19,9.33,9.11,9.27,8.150171,3352400
58,2015-03-05,9.26,9.35,9.24,9.31,8.185336999999999,738900
59,2015-03-06,9.3,9.3,9.15,9.18,8.071042,1454500
60,2015-03-09,9.2,9.25,9.15,9.24,8.123795,2136800
61,2015-03-10,9.23,9.31,9.18,9.23,8.115003,1198800
62,2015-03-11,9.3,9.46,9.26,9.43,8.290842999999999,3908100
63,2015-03-12,9.32,9.34,9.05,9.16,8.053460000000001,1902600
64,2015-03-13,9.21,9.25,9.18,9.21,8.097418,3475900
65,2015-03-16,9.49,9.73,9.47,9.69,8.519432,2090500
66,2015-03-17,9.69,9.82,9.64,9.82,8.633728999999999,2455100
67,2015-03-18,9.74,9.89,9.63,9.83,8.642521,1852300
68,2015-03-19,9.55,9.6,9.48,9.58,8.422721000000001,1485100
69,2015-03-20,9.95,9.97,9.88,9.94,8.739233,1200200
70,2015-03-23,9.94,9.95,9.79,9.82,8.72147,801500
71,2015-03-24,9.84,9.85,9.76,9.78,8.685947,664000
72,2015-03-25,9.7,9.72,9.37,9.39,8.339573,1184600
73,2015-03-26,9.06,9.07,8.9,9.04,8.028725999999999,3180800
74,2015-03-27,9.15,9.34,9.14,9.34,8.295167999999999,1673700
75,2015-03-30,9.39,9.46,9.39,9.43,8.3751,1230900
76,2015-03-31,9.28,9.34,9.25,9.27,8.232998,828600
77,2015-04-01,9.29,9.29,9.15,9.24,8.206354,936300
78,2015-04-02,9.37,9.41,9.27,9.32,8.277403999999999,676900
79,2015-04-06,9.33,9.41,9.3,9.4,8.348453999999998,518800
80,2015-04-07,9.34,9.38,9.24,9.24,8.206354,820100
81,2015-04-08,9.16,9.23,9.14,9.19,8.161947999999999,646100
82,2015-04-09,9.23,9.25,9.18,9.23,8.197473,632200
83,2015-04-10,9.31,9.45,9.3,9.44,8.383981,707200
84,2015-04-13,9.53,9.57,9.46,9.53,8.463911,814600
85,2015-04-14,9.47,9.48,9.38,9.41,8.357336,495100
86,2015-04-15,9.42,9.44,9.32,9.43,8.3751,639400
87,2015-04-16,9.48,9.5,9.4,9.49,8.428389,631300
88,2015-04-17,9.25,9.25,9.13,9.19,8.161947999999999,645900
89,2015-04-20,9.14,9.28,9.14,9.21,8.179708999999999,465900
90,2015-04-21,9.56,9.68,9.53,9.65,8.570489,1192900
91,2015-04-22,9.88,9.98,9.84,9.94,8.828047,2827500
92,2015-04-23,9.57,9.68,9.49,9.65,8.570489,1184300
93,2015-04-24,9.49,9.51,9.38,9.44,8.383981,1069100
94,2015-04-27,9.57,9.63,9.54,9.59,8.5172,765500
95,2015-04-28,9.37,9.4,9.28,9.38,8.330691,1866600
96,2015-04-29,9.19,9.29,9.09,9.18,8.153065,2192700
97,2015-04-30,8.07,8.07,7.93,7.96,7.069542,4351900
98,2015-05-01,7.95,8.0,7.89,7.94,7.051779,1222500
99,2015-05-04,7.89,7.9,7.75,7.77,6.900797,1737200
100,2015-05-05,7.61,7.65,7.52,7.57,6.72317,1805900
101,2015-05-06,7.76,7.82,7.68,7.74,6.874153,1598300
102,2015-05-07,7.73,7.8,7.71,7.76,6.891916,1227200
103,2015-05-08,7.8,7.85,7.78,7.8,6.92744,737600
104,2015-05-11,7.64,7.81,7.62,7.76,6.891916,873400
105,2015-05-12,8.19,8.19,7.99,8.02,7.122831,3011200
106,2015-05-13,8.09,8.11,8.0,8.01,7.113949000000001,1686600
107,2015-05-14,8.14,8.21,8.11,8.18,7.264932000000001,918100
108,2015-05-15,8.12,8.14,8.07,8.12,7.211644000000001,696000
109,2015-05-18,8.14,8.16,8.09,8.15,7.238287,554200
110,2015-05-19,8.09,8.12,8.04,8.08,7.176117999999999,561100
111,2015-05-20,8.23,8.34,8.19,8.27,7.344864,1548800
112,2015-05-21,8.2,8.25,8.18,8.25,7.327101,783900
113,2015-05-22,8.15,8.23,8.09,8.18,7.264932000000001,1905000
114,2015-05-26,8.1,8.11,7.96,8.02,7.122831,1091800
115,2015-05-27,8.05,8.32,8.04,8.29,7.362627000000001,889200
116,2015-05-28,8.54,8.62,8.42,8.54,7.58466,2084800
117,2015-05-29,8.54,8.58,8.47,8.5,7.549135000000001,1094500
118,2015-06-01,8.5,8.5,8.33,8.47,7.522492,1677600
119,2015-06-02,8.58,8.62,8.51,8.56,7.602424000000001,1064800
120,2015-06-03,8.59,8.65,8.54,8.56,7.602424000000001,674800
121,2015-06-04,8.68,8.76,8.54,8.56,7.602424000000001,1164400
122,2015-06-05,8.37,8.46,8.32,8.42,7.478084,696300
123,2015-06-08,8.41,8.52,8.39,8.45,7.504726,824900
124,2015-06-09,8.37,8.43,8.3,8.34,7.407033,1385800
125,2015-06-10,8.52,8.53,8.4,8.42,7.478084,696300
126,2015-06-11,8.42,8.5,8.36,8.41,7.4692039999999995,730600
127,2015-06-12,8.15,8.25,8.1,8.23,7.397295,716300
128,2015-06-15,8.05,8.15,8.01,8.14,7.316402,1341900
129,2015-06-16,8.27,8.34,8.18,8.32,7.4781889999999995,1099800
130,2015-06-17,8.14,8.16,8.03,8.08,7.262473,1793300
131,2015-06-18,7.99,8.29,7.98,8.1,7.28045,1492000
132,2015-06-19,8.08,8.09,7.95,7.99,7.18158,1119200
133,2015-06-22,8.29,8.37,8.28,8.3,7.460215,1195400
134,2015-06-23,8.45,8.49,8.39,8.4,7.550096000000001,838200
135,2015-06-24,8.32,8.37,8.21,8.24,7.4062850000000005,1109500
136,2015-06-25,8.41,8.49,8.35,8.44,7.58605,1055600
137,2015-06-26,8.56,8.61,8.42,8.49,7.630989,2185400
138,2015-06-29,8.32,8.43,8.18,8.2,7.370332,2371300
139,2015-06-30,8.31,8.31,8.11,8.12,7.298427,4805500
140,2015-07-01,8.17,8.24,8.01,8.07,7.253486,1621600
141,2015-07-02,8.07,8.09,7.99,8.04,7.226521000000001,912200
142,2015-07-06,7.88,8.19,7.87,7.98,7.172591000000001,2772100
143,2015-07-07,7.76,7.91,7.62,7.85,7.055745,2139200
