,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-12-09,80.980003,81.83000200000001,80.279999,81.33000200000001,67.562752,1586200
1,2014-12-10,81.480003,81.739998,79.769997,79.879997,66.3582,1401500
2,2014-12-11,79.949997,80.529999,77.860001,78.129997,64.904434,2359000
3,2014-12-12,76.989998,77.940002,76.519997,76.730003,63.741425,2213800
4,2014-12-15,77.190002,77.540001,75.849998,76.43,63.492203,1681700
5,2014-12-16,76.220001,77.75,76.209999,76.730003,63.741425,1944300
6,2014-12-17,76.980003,79.150002,76.599998,78.650002,65.336411,2045600
7,2014-12-18,81.050003,83.660004,80.769997,83.599998,69.448494,2727600
8,2014-12-19,83.610001,85.0,83.32,83.989998,69.772469,2001700
9,2014-12-22,83.620003,85.269997,83.610001,83.730003,69.556488,1025700
10,2014-12-23,83.769997,84.239998,83.540001,83.949997,69.739243,1288300
11,2014-12-24,83.879997,85.260002,83.690002,84.230003,69.971848,350100
12,2014-12-26,84.220001,84.739998,83.800003,84.260002,69.996773,881000
13,2014-12-29,84.019997,84.58000200000001,83.190002,83.389999,69.27404,1238800
14,2014-12-30,83.389999,83.989998,82.190002,82.66999799999999,68.675919,1138400
15,2014-12-31,82.449997,83.610001,81.699997,82.519997,68.55130799999999,897500
16,2015-01-02,82.599998,82.989998,81.400002,82.07,68.177483,1098000
17,2015-01-05,81.730003,82.360001,80.949997,81.029999,67.31353,1119900
18,2015-01-06,81.279999,81.809998,78.68,78.790001,65.452713,2466500
19,2015-01-07,79.510002,79.540001,78.389999,78.849998,65.50255600000001,1431900
20,2015-01-08,79.129997,80.08000200000001,79.08000200000001,79.779999,66.275124,1464000
21,2015-01-09,80.16999799999999,80.599998,78.309998,78.900002,65.54409,1364400
22,2015-01-12,80.209999,82.25,80.209999,80.739998,67.07261700000001,1740000
23,2015-01-13,81.269997,82.589996,79.059998,80.0,66.457886,1450600
24,2015-01-14,79.129997,79.470001,77.010002,77.739998,64.58045200000001,2953200
25,2015-01-15,78.0,79.769997,77.16999799999999,79.160004,65.76007800000001,2625400
26,2015-01-16,79.120003,81.25,79.120003,80.610001,66.96463,2618900
27,2015-01-20,80.75,81.089996,79.629997,80.639999,66.989548,1051100
28,2015-01-21,80.279999,81.760002,79.839996,79.959999,66.42466,1745500
29,2015-01-22,80.0,82.5,79.610001,82.150002,68.243942,1335500
30,2015-01-23,82.459999,84.309998,82.25,82.980003,68.933449,1954700
31,2015-01-26,82.730003,83.610001,82.029999,82.459999,68.501465,2467200
32,2015-01-27,81.0,81.599998,80.300003,80.610001,66.96463,2638700
33,2015-01-28,78.07,79.0,74.699997,75.059998,62.354110999999996,9530400
34,2015-01-29,75.720001,76.440002,73.650002,76.190002,63.29283100000001,5157000
35,2015-01-30,75.459999,78.129997,75.089996,77.099998,64.04879,4398500
36,2015-02-02,76.75,79.269997,76.16999799999999,79.220001,65.809921,2674300
37,2015-02-03,79.339996,80.459999,79.309998,80.029999,66.482811,2145600
38,2015-02-04,79.779999,81.379997,79.550003,80.730003,67.064316,1861900
39,2015-02-05,81.220001,81.230003,79.440002,79.440002,65.992683,2225100
40,2015-02-06,79.599998,80.269997,78.400002,78.58000200000001,65.27825899999999,2073800
41,2015-02-09,78.25,78.910004,77.43,77.510002,64.38938900000001,2018000
42,2015-02-10,79.360001,79.410004,78.110001,78.769997,65.43609599999999,2607800
43,2015-02-11,79.25,82.300003,79.220001,81.650002,67.828583,3959700
44,2015-02-12,81.989998,83.889999,81.529999,83.620003,69.465111,2036700
45,2015-02-13,83.860001,84.93,83.32,84.68,70.345673,1386200
46,2015-02-17,84.220001,84.5,83.5,83.940002,69.730942,1138100
47,2015-02-18,84.120003,85.209999,84.029999,84.739998,70.395515,1178800
48,2015-02-19,84.629997,85.129997,84.239998,84.68,70.345673,802800
49,2015-02-20,84.58000200000001,85.349998,84.519997,85.160004,70.744423,777200
50,2015-02-23,84.720001,85.0,82.879997,83.300003,69.19928,1433000
51,2015-02-24,82.739998,83.470001,81.690002,83.400002,69.282349,1743500
