,Sector,Industry,Full Time Employees,Name,Title,Pay,Exercised,Year Born
AAPL,Technology,Consumer Electronics,"137,000","['Mr. Timothy D. Cook', 'Mr. Luca  Maestri', 'Mr. Jeffrey E. Williams', 'Ms. Katherine L. Adams', 'Mr. Chris  Kondo']","['CEO & Director', 'CFO & Sr. VP', 'Chief Operating Officer', 'Sr. VP, Gen. Counsel & Sec.', 'Sr. Director of Corp. Accounting']","['15.68M', '5.02M', '5.05M', '5.31M', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['1961', '1964', '1964', '1964', 'N/A']"
MSFT,Technology,Software—Infrastructure,"144,000","['Mr. Satya  Nadella', 'Mr. Bradford L. Smith', 'Mr. William Henry Gates III', 'Ms. Amy E. Hood', 'Mr. Jean-Philippe  Courtois']","['CEO & Director', 'Pres & Chief Legal Officer', 'Co-Founder, Technology Advisor & Non-Independent Director', 'Exec. VP & CFO', 'Exec. VP and Pres of Microsoft Global Sales, Marketing & Operations']","['13.24M', '4.33M', 'N/A', '4.91M', '3.78M']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['1967', '1959', '1955', '1972', '1961']"
TSM,Technology,Semiconductors,,"['Dr. C. C. Wei', 'Mr. Jen-Chau  Huang', 'Ms. Sylvia  Fang', 'Ms. Elizabeth  Sun', 'Ms. Connie  Ma']","['Vice Chairman & CEO', 'VP & CFO', 'VP of Legal & Gen. Counsel', 'Sr. Director of Corp. Communication Division', 'VP of HR']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
INTC,Technology,Semiconductors,"107,400","['Mr. Robert H. Swan', 'Mr. Steven R. Rodgers', 'Mr. Navin  Shenoy', 'Dr. Venkata S. Murthy Renduchintala', 'Mr. George S. Davis']","['CEO & Director', 'Exec. VP & Gen. Counsel', 'Exec. VP & GM of Data Platforms Group', 'Chief Engineering Officer and Group Pres of Technology, Systems Architecture & Client Group', 'Exec. VP & CFO']","['5.81M', '4.09M', '2.92M', '5.25M', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['1960', '1966', '1974', '1965', '1958']"
CSCO,Technology,Communication Equipment,"75,900","['Mr. Charles H. Robbins', 'Ms. Kelly A. Kramer', 'Ms. Geraldine T. Elliott', 'Mr. David  Goeckeler', 'Ms. Maria  Martinez']","['Chairman & CEO', 'Exec. VP & CFO', 'Exec. VP and Chief Sales & Marketing Officer', 'Exec. VP and GM of Networking & Security Bus.', 'Exec. VP & Chief Customer Experience Officer']","['7.25M', '3.02M', '6.78M', '2.95M', '8.82M']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['1966', '1968', '1957', '1962', '1958']"
ORCL,Technology,Software—Infrastructure,"136,000","['Mr. Lawrence J. Ellison', 'Ms. Safra Ada Catz', 'Mr. Jeffrey O. Henley', 'Ms. Dorian E. Daley', 'Mr. Edward  Screven']","['Co-Founder, Chairman & CTO', 'CEO & Director', 'Vice Chairman', 'Exec. VP & Gen. Counsel', 'Exec. VP & Chief Corp. Architect']","['1.66M', '965.98k', '658.62k', '1.23M', '708.62k']","['204.71M', '157.65M', '22.75M', '8.36M', '20.35M']","['1944', '1962', '1945', '1959', '1965']"
SAP,Technology,Software—Application,"99,710","['Prof. Hasso C. Plattner', 'Ms. Jennifer B. Morgan', 'Mr. Christian  Klein', 'Mr. Luka  Mucic', 'Mr. Michael  Kleinemeier']","['Co-Founder & Chairman of the Supervisory Board', 'Co-CEO & Member of Exec. Board', 'Co-CEO & Member of Exec. Board', 'CFO & Member of Exec. Board', 'Head of Digital Bus. Services & Member of Exec. Board']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['1944', '1971', '1980', '1971', '1957']"
ADBE,Technology,Software—Infrastructure,"21,357","['Mr. Shantanu  Narayen', 'Dr. John E. Warnock', 'Dr. Charles M. Geschke', 'Mr. John F. Murphy', 'Mr. Bryan  Lamkin']","['Chairman, Pres & CEO', 'Co-Founder & Director', 'Co-Founder & Director', 'Exec. VP & CFO', 'Exec. VP & Gen. Mang. of Digital Media']","['2.86M', '60k', '60k', '1.2M', '1.27M']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['1964', '1941', '1939', '1969', '1961']"
NVDA,Technology,Semiconductors,"13,277","['Mr. Jen-Hsun  Huang', 'Ms. Colette M. Kress', 'Ms. Deborah  Shoquist', 'Mr. Timothy S. Teter', 'Mr. Ajay K. Puri']","['Co-Founder, CEO, Pres & Director', 'Exec. VP & CFO', 'Exec. VP of Operations', 'Exec. VP, Gen. Counsel & Sec.', 'Exec. VP of Worldwide Field Operations']","['2.03M', '1.18M', '1.09M', '1.54M', '1.57M']","['N/A', 'N/A', 'N/A', 'N/A', '2.86M']","['1963', '1967', '1955', '1967', '1955']"
ACN,Technology,Information Technology Services,"492,000","['Mr. David P. Rowland', 'Ms. Julie T. Spellman Sweet', 'Mr. Gianfranco  Casati', ""Mr. Alexander M. van't Noordende"", 'Ms. Kathleen R. McClure']","['Exec. Chairman & Advisor to CEO', 'CEO & Director', 'Group Chief Exec. of Growth Markets', 'Exec. Officer', 'Chief Financial Officer']","['3.06M', '2.66M', '2.78M', '2.65M', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['1961', '1967', '1959', '1963', '1965']"
